state,district,nightlight,population,electricity,msme,atm,nightlight_norm,population_norm,electricity_norm,msme_norm,atm_norm,shadow_score,shadow_rank,cluster
meghalaya,jaintia hills,0.5189923352409939,395124.0,5.307663146493366,2415.0,18000.0,0.00533849793467394,0.03206547052675486,0.008892208415679214,0.0011640925713910224,0.2916666666666667,-0.017061844292263883,542.0,1
meghalaya,west khasi hills,0.3271145009926723,383461.0,5.307663146493366,2415.0,18000.0,0.0025362210854495827,0.031006961852302145,0.008892208415679214,0.0011640925713910224,0.2916666666666667,-0.018447382200566804,544.0,1
mizoram,lawngtlai,0.2758107489506579,117894.0,1.5282708389533315,3546.0,18000.0,0.0017869562358180965,0.00690467486367265,0.00039472384978756023,0.001735776765157087,0.2916666666666667,-0.026386404171690196,567.0,1
nagaland,mokokchung,0.3929382315189916,194622.0,2.1433234421364986,2019.0,18000.0,0.003497542735269594,0.013868342322594743,0.0017775916701865107,0.0009639272833880503,0.2916666666666667,-0.023800456565364638,556.0,1
nagaland,mon,0.3189510812490336,250260.0,2.1433234421364986,2019.0,18000.0,0.002416998548632254,0.018917926960269484,0.0017775916701865107,0.0009639272833880503,0.2916666666666667,-0.022970278080600887,553.0,1
nagaland,phek,0.2984109045849621,163418.0,2.1433234421364986,2019.0,18000.0,0.00211701985765842,0.011036334719266037,0.0017775916701865107,0.0009639272833880503,0.2916666666666667,-0.025060667617241284,560.0,1
nagaland,tuensang,0.3015975909102558,196596.0,2.1433234421364986,2019.0,18000.0,0.0021635597685871273,0.014047498296475365,0.0017775916701865107,0.0009639272833880503,0.2916666666666667,-0.02428926075856747,557.0,1
nagaland,wokha,0.415313828957249,166343.0,2.1433234421364986,2019.0,18000.0,0.0038243268004245355,0.011301801397888537,0.0017775916701865107,0.0009639272833880503,0.2916666666666667,-0.024311378170479212,558.0,1
nagaland,zunheboto,0.3781492459884193,140757.0,2.1433234421364986,2019.0,18000.0,0.0032815572258532073,0.00897967133319272,0.0017775916701865107,0.0009639272833880503,0.2916666666666667,-0.025109018516481698,561.0,1
orissa,sundargarh,1.264918701369616,2093437.0,148.42551928783382,623437.0,18000.0,0.01623236795992712,0.18620068808963097,0.33067456777495835,0.3150707781425572,0.2916666666666667,0.13727198281608716,273.0,2
punjab,amritsar,3.2981689723718715,2490656.0,161.66277313191262,233268.0,14000.0,0.04592693995376653,0.22225142607792175,0.36043685522271574,0.11785287345863883,0.12499999999999994,0.15119893456432607,222.0,2
