state,district,population
21,baleshwar,2067236
21,baleshwar,253293
21,bhadrak,1506337
21,bhadrak,1320499
21,bhadrak,185838
21,kendrapara,1440361
21,kendrapara,1356827
21,kendrapara,83534
21,jagatsinghapur,1136971
21,jagatsinghapur,1020991
21,jagatsinghapur,115980
21,cuttack,2624470
21,cuttack,1888423
21,cuttack,736047
21,jajapur,1827192
21,jajapur,1692095
21,jajapur,135097
21,dhenkanal,1192811
21,dhenkanal,1075305
21,dhenkanal,117506
21,anugul,1273821
21,anugul,1067275
21,anugul,206546
21,nayagarh,962789
21,nayagarh,883051
21,nayagarh,79738
21,khordha,2251673
21,khordha,1167357
21,khordha,1084316
21,puri,1698730
21,puri,1433800
21,puri,264930
21,ganjam,3529031
21,ganjam,2761030
21,ganjam,768001
21,gajapati,577817
21,gajapati,507151
21,gajapati,70666
21,kandhamal,733110
21,kandhamal,660831
21,kandhamal,72279
21,baudh,441162
21,baudh,420738
21,baudh,20424
21,subarnapur,610183
21,subarnapur,560242
21,subarnapur,49941
21,balangir,1648997
21,balangir,1451616
21,balangir,197381
21,nuapada,610382
21,nuapada,576328
21,nuapada,34054
21,kalahandi,1576869
21,kalahandi,1454882
21,kalahandi,121987
21,rayagada,967911
21,rayagada,820945
21,rayagada,146966
21,nabarangapur,1220946
21,nabarangapur,1133321
21,nabarangapur,87625
21,koraput,1379647
21,koraput,1153478
21,koraput,226169
21,malkangiri,613192
21,malkangiri,563664
21,malkangiri,49528
22,chhattisgarh,25545198
22,chhattisgarh,19607961
22,chhattisgarh,5937237
22,koriya,658917
22,koriya,453618
22,koriya,205299
22,surguja,2359886
22,surguja,2116965
22,surguja,242921
22,jashpur,851669
22,jashpur,775677
22,jashpur,75992
22,raigarh,1493984
22,raigarh,1247682
22,raigarh,246302
22,korba,1206640
22,korba,760350
22,korba,446290
22,janjgir - champa,1619707
22,janjgir - champa,1394646
22,janjgir - champa,225061
22,bilaspur,2663629
22,bilaspur,1983759
22,bilaspur,679870
22,kabeerdham,822526
22,kabeerdham,735131
22,kabeerdham,87395
22,rajnandgaon,1537133
