state,district,nightlight
orissa,dhenkanal,1.3652025029610957
orissa,ganjam,0.9539105518166728
orissa,kalahandi,0.6651238947436395
orissa,keonjhar,1.120246707925019
orissa,koraput,0.6724285383631629
orissa,mayurbhanj,0.5906030386460783
orissa,puri,1.1774538115579931
orissa,sambalpur,1.070645034543895
orissa,angul,1.390325112476244
orissa,baleshwar,1.4044202309598175
orissa,baragarh,0.8022890887034001
orissa,bhadrak,1.2720257350361004
orissa,bolangir,0.8404115009719719
orissa,boudh,0.4940214799656235
orissa,deogarh,0.5466918699900503
orissa,gajapati,0.4343277029711174
orissa,jagatsinghpur,3.263586420796179
orissa,jajpur,3.1031662558973
orissa,jharsuguda,2.5607393725962546
orissa,kandhamal,0.3828551592171131
orissa,kendrapara,1.0921551296302
orissa,khordha,3.0239053385636665
orissa,malkangiri,0.4292626543456098
orissa,nabarangpur,0.6160629219333863
orissa,nayagarh,0.559056606978619
orissa,nuapada,0.6175587022364274
orissa,rayagada,0.5184388775987978
orissa,sonepur,0.7490329655381261
tamil nadu,thoothukudi,1.5230437108357553
tamil nadu,coimbatore,2.962099650357002
tamil nadu,dharmapuri,1.6023501723576192
tamil nadu,virudhunagar,1.435211262810447
tamil nadu,kanniyakumari,2.2367149233967862
tamil nadu,nilgiris,0.6753460066050354
tamil nadu,erode,1.5026535268695564
tamil nadu,pudukkottai,1.0139088467280069
tamil nadu,dindigul,1.224980009739835
tamil nadu,ramanathapuram,0.8032724397389941
tamil nadu,salem,2.46066566921658
tamil nadu,thanjavur,1.6180767551987474
tamil nadu,sivaganga,0.9370447195848716
tamil nadu,tiruchchirappalli,2.0415327799019614
tamil nadu,tirunelveli kattabo,1.4936518664281864
tamil nadu,ariyalur,1.7643455362255729
tamil nadu,chennai,40.3187783133186
tamil nadu,cuddalore,2.134660524877342
tamil nadu,kancheepuram,5.593282782585059
tamil nadu,karur,1.490881033365717
tamil nadu,madurai,2.0498409638166804
tamil nadu,nagapattinam,1.576411125176712
tamil nadu,namakkal,2.041100531291149
tamil nadu,perambalur,1.294160845696496
tamil nadu,theni,0.9062217732585128
tamil nadu,thiruvallur,6.15779365899756
tamil nadu,tiruvannamalai,1.1828799529127163
tamil nadu,vellore,1.9714295388722116
tamil nadu,villupuram,1.5800523061197749
west bengal,east midnapore,2.489691509813345
chhattisgarh,durg,1.821067690743168
chhattisgarh,bastar,0.4970127104072868
chhattisgarh,dantewada,0.4023610852291125
chhattisgarh,dhamtari,0.6905097942481374
chhattisgarh,janjgir-champa,1.7641137081953338
chhattisgarh,kanker,0.4777798644487002
chhattisgarh,mahasamund,0.98641570618694
chhattisgarh,raipur,1.7253313319040904
chhattisgarh,raj nandgaon,0.796537386238914
dadra and nagar haveli,dadra and nagar haveli,4.337646339808863
daman and diu,daman,11.173074197075852
daman and diu,junagadh,2.1693752155222428
madhya pradesh,burhanpur,0.6045955952408282
puducherry,karaikal,4.397254236135257
puducherry,mahe,1.1491140423845725
puducherry,puducherry,7.56872560250703
puducherry,yanam,6.051303647897776
